id,name,legal_name,type,admin_street_address,admin_city,admin_state,admin_zip,phone_number,latitude,longitude,locale_code,county_code,state_code,region_code,income,revenue
8403600204,NEW YORK STATE MUSEUM,NEW YORK STATE MUSEUM,GENERAL MUSEUM,3099 CULTURAL EDUCATION CENTER,ALBANY,NY,12230,5184745877,42.6547,-73.75776,1.0,1.0,36.0,2,,
8403601852,NEW YORK STATE MUSEUM INSTITUTE CULTURAL EDUCATION CENTER,NEW YORK STATE MUSEUM INSTITUTE CULTURAL EDUCATION CENTER,HISTORY MUSEUM,RM 3025 CULTURAL ED CTR,ALBANY,NY,12230,,42.6547,-73.75776,1.0,1.0,36.0,2,1104.0,1104.0
8403600169,NEW YORK STATE MUSEUM LAB,NEW YORK STATE MUSEUM LAB,GENERAL MUSEUM,FISH HATCHERY RD,CAMBRIDGE,NY,12816,5186778245,43.05659,-73.3553,4.0,115.0,36.0,2,,
8403600182,NEW YORK STATE OLD TIMES,NEW YORK STATE OLD TYME FIDDLERS ASSOCIATION INC,GENERAL MUSEUM,COMINS RD,REDFIELD,NY,13437,3155997009,43.53267,-75.74458,4.0,75.0,36.0,2,0.0,0.0
8403600946,NEW YORK STATE SHIELDS,NEW YORK STATE SHIELDS INC,HISTORIC PRESERVATION,PO BOX 703,HARTSDALE,NY,10530,2125768898,41.02048,-73.80171,2.0,119.0,36.0,2,0.0,0.0
8403602391,NEW YORK STATE SOCIETY OF THE CINCINNATI,NEW YORK STATE SOCIETY OF THE CINCINNATI INC,HISTORIC PRESERVATION,150 EAST 93RD STREET APTARTMENT 8B,NEW YORK,NY,10128,,41.50511,-73.96508,2.0,,36.0,2,36733.0,36733.0
8403601616,NEW YORK STEAM ENGINE ASSOCIATION,NEW YORK STEAM ENGINE ASSOCIATION INC,HISTORIC PRESERVATION,909 STATE ROUTE 88 S,NEWARK,NY,14513,,43.0076,-77.1034,4.0,69.0,36.0,2,244485.0,189500.0
8403600632,NEW YORK TRANSIT MUSEUM,FRIENDS OF THE NEW YORK TRANSIT MUSEUM,GENERAL MUSEUM,130 LIVINGSTON STREET,BROOKLYN,NY,11201,7186944952,40.69039,-73.98876,1.0,47.0,36.0,2,5421665.0,2156641.0
8409501690,NEWARK VALLEY HISTORICAL SOCIETY,NEWARK VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 222,NEWARK VALLEY,NY,13811,6076429516,42.22683,-76.16494,4.0,107.0,36.0,2,,
8403600796,NEWBURGH PRESERVATION ASSOCIATION,NEWBURGH PRESERVATION ASSOCIATION INC,HISTORIC PRESERVATION,PO BOX 206,NEWBURGH,NY,12551,8455628076,41.5079,-74.01513,1.0,71.0,36.0,2,15670.0,15670.0
8403601129,NEWCOMB HISTORICAL SOCIETY,TOWN OF NEWCOMB HISTORICAL SOCIETY,HISTORIC PRESERVATION,LOCAL,NEWCOMB,NY,12852,,43.96445,-74.14252,4.0,,36.0,2,,
8403601347,NEWFANE HISTORICAL SOCIETY,TOWN OF NEWFANE HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,PO BOX 115,NEWFANE,NY,14108,7167787197,43.31938,-78.71903,4.0,63.0,36.0,2,58792.0,48755.0
8403601801,NEWFIELD HISTORICAL SOCIETY,NEWFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,262 VAN KIRK ROAD,NEWFIELD,NY,14867,6075647778,42.33859,-76.60787,4.0,109.0,36.0,2,0.0,0.0
8403601365,NEWSTEAD HISTORICAL SOCIETY,NEWSTEAD HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 22,AKRON,NY,14001,7165427022,43.02042,-78.50844,3.0,29.0,36.0,2,15742.0,15742.0
8403602025,NEWTOWN HISTORICAL SOCIETY,NEWTOWN HISTORICAL SOCIETY,HISTORIC PRESERVATION,1883 STOCKHOLM ST,RIDGEWOOD,NY,11385,,40.70886,-73.91376,1.0,81.0,36.0,2,0.0,0.0
8409503781,NEXT ART GALLERY,METROPOLITAN COLLEGE OF NEW YORK,ART MUSEUM,431 CANAL STREET,NEW YORK,NY,10013,,40.72267,-74.00642,1.0,61.0,36.0,2,33645551.0,33645551.0
8403600479,NEXT STOP TUPPER LAKE,NEXT STOP TUPPER LAKE,HISTORIC PRESERVATION,PO BOX 842,TUPPER LAKE,NY,12986,5183593004,44.24464,-74.47611,3.0,33.0,36.0,2,0.0,0.0
8403601462,NIAGARA AEROSPACE MUSEUM,NIAGARA AEROSPACE MUSEUM,GENERAL MUSEUM,2221 NIAGARA FALLS BLVD STE 7,NIAGARA FALLS,NY,14304,7162971324,43.09949,-78.94089,2.0,63.0,36.0,2,127975.0,126505.0
8403601474,NIAGARA AQUARIUM,NIAGARA AQUARIUM FOUNDATION INC,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",701 WHIRLPOOL ST,NIAGARA FALLS,NY,14301,7162853575,43.09422,-79.06056,1.0,63.0,36.0,2,2229112.0,1865585.0
8409500721,NIAGARA COUNTY COMMUNITY COLLEGE PLANETARIUM,NIAGARA COUNTY COMMUNITY COLLEGE PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,E241,SANBORN,NY,14132,,43.14547,-78.87756,4.0,,36.0,2,,
8403601315,NIAGARA COUNTY HISTORICAL SOCIETY,NIAGARA COUNTY HISTORICAL SOCIETY INCORPORATED,HISTORIC PRESERVATION,215 NIAGARA ST,LOCKPORT,NY,14094,7164347433,43.17011,-78.70318,3.0,63.0,36.0,2,615554.0,498237.0
8403602194,NIAGARA EXPERIENCE CENTER,NIAGARA EXPERIENCE CENTER INC,GENERAL MUSEUM,222 FIRST ST 7TH FL,NIAGARA FALLS,NY,14303,,43.08554,-79.06238,1.0,63.0,36.0,2,0.0,0.0
8403602043,NIAGARA FALLS VETERANS MEMORIAL COMMISSION,NIAGARA FALLS VETERANS MEMORIAL COMMISSION,HISTORIC PRESERVATION,496 COLLEGE AVENUE,NIAGARA FALLS,NY,14305,,43.09692,-79.02819,1.0,63.0,36.0,2,0.0,0.0
8403602389,NIAGARA SCIENCE MUSEUM,NIAGARA SCIENCE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,3625 HIGHLAND AVE,NIAGARA FALLS,NY,14305,7162822975,43.12044,-79.04541,1.0,63.0,36.0,2,100.0,100.0
8403601026,NICHOLAS ROERICH MUSEUM,NICHOLAS ROERICH MUSEUM,GENERAL MUSEUM,319 W 107TH ST,NEW YORK,NY,10025,2128647752,40.80289,-73.96883,1.0,61.0,36.0,2,10616384.0,
8403600166,NOBLE MARITIME COLLECTIONS,NOBLE MARITIME COLLECTION,ART MUSEUM,1000 RICHMOND TER,STATEN ISLAND,NY,10301,7184476490,40.64468,-74.09988,1.0,85.0,36.0,2,384485.0,363501.0
8403600037,NORMAN ROCKWELL MUSEUM,NORMAN ROCKWELL MUSEUM AT STOCKBRIDGE INC,GENERAL MUSEUM,111 CEDAR STREET,CORNING,NY,14830,6079375386,42.29299,-73.33757,4.0,3.0,25.0,1,4285272.0,4285272.0
8403600192,NORTH AMERICAN INDIAN PROJECT CULTURAL CENTER,NORTH AMERICAN INDIAN PROJECT CULTURAL CENTER,GENERAL MUSEUM,740 N SALINA ST,SYRACUSE,NY,13208,3154756229,43.06089,-76.1533,1.0,67.0,36.0,2,,
8403601951,NORTH CASTLE HISTORICAL SOCIETY,NORTH CASTLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,440 BEDFORD RD,ARMONK,NY,10504,9142733875,41.12739,-73.69117,4.0,119.0,36.0,2,323873.0,126233.0
8403601184,NORTH CHATHAM HISTORICAL SOCIETY,NORTH CHATHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 243,NORTH CHATHAM,NY,12132,5187663211,42.47114,-73.63186,4.0,21.0,36.0,2,0.0,0.0
8403602229,NORTH COLLINS HISTORICAL SOCIETY,NORTH COLLINS HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 32,NORTH COLLINS,NY,14111,7163373391,42.59628,-78.94212,4.0,29.0,36.0,2,0.0,0.0
8409401014,NORTH COUNTRY CHILDREN'S MUSEUM,NORTH COUNTRY CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,41 ELM STREET SUITE 106,POTSDAM,NY,12676,3152614604,44.66975,-74.97721,3.0,89.0,36.0,2,,
8403600164,NORTH COUNTRY CULTURAL CENTER,THE STRAND CENTER FOR THE ARTS,GENERAL MUSEUM,30 BRINKERHOFF ST,PLATTSBURGH,NY,12901,5185631604,44.69687,-73.45504,3.0,19.0,36.0,2,1090188.0,1078048.0
8403601705,NORTH COUNTRY UNDERGROUND RAILROAD HISTORICAL ASSOCIATION,NORTH COUNTRY UNDERGROUND RAILROAD HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,1131 MACE CHASM ROAD,AUSABLE CHASM,NY,12911,5188345180,44.52264,-73.46267,4.0,19.0,36.0,2,0.0,0.0
8403601144,NORTH CREEK RAILWAY DEPOT PRESERVATION ASSOCIATION,NORTH CREEK RAILWAY DEPOT PRESERVATION ASSOCIATION,HISTORIC PRESERVATION,PO BOX 156,NORTH CREEK,NY,12853,5182515842,43.70061,-73.96169,4.0,,36.0,2,0.0,0.0
8403601542,NORTH EAST CLASSIC CAR MUSEUM,NORTHEAST CLASSIC CAR MUSEUM INC,GENERAL MUSEUM,24 REXFORD ST,NORWICH,NY,13815,6073342886,42.53676,-75.52225,3.0,17.0,36.0,2,847034.0,526530.0
8403601109,NORTH EAST HISTORICAL SOCIETY,NORTH EAST HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,PO BOX 727,MILLERTON,NY,12546,,41.95296,-73.53076,4.0,27.0,36.0,2,0.0,0.0
8403600196,NORTH ELBA TOWN HOUSE,NORTH ELBA TOWN HOUSE,HISTORIC PRESERVATION,132 RIVER ST,SARANAC LAKE,NY,12983,5188910971,44.33394,-74.14451,3.0,,36.0,2,,
8403600914,NORTH RIVER HISTORIC SHIP SOCIETY,NORTH RIVER HISTORIC SHIP SOCIETY,HISTORIC PRESERVATION,375 S END AVE,NEW YORK,NY,10280,9177095291,40.7306,-73.98749,1.0,61.0,36.0,2,40218.0,40218.0
8403601917,NORTH SALEM HISTORICAL SOCIETY,NORTH SALEM HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 31,NORTH SALEM,NY,10560,,41.3278,-73.56901,4.0,119.0,36.0,2,0.0,0.0
8403600675,NORTH SHORE HISTORICAL MUSEUM,NORTH SHORE HISTORICAL MUSEUM,HISTORY MUSEUM,PO BOX 217,GLEN COVE,NY,11542,5168011191,40.86317,-73.62588,2.0,59.0,36.0,2,191925.0,190208.0
8403601666,NORTH TONAWANDA HISTORY MUSEUM,NORTH TONAWANDA HISTORY MUSEUM,HISTORY MUSEUM,54 WEBSTER ST,N TONAWANDA,NY,14120,7162130554,43.02409,-78.87737,2.0,63.0,36.0,2,70532.0,70532.0
8403600988,NORTHEASTERN AMERICAN SOCIETY FOR EIGHTEENTH CENTURY STUDIES,NORTHEAST AMERICAN SOCIETY FOR EIGHTEENTH-CENTURY STUDIES,HISTORIC PRESERVATION,317 HOOK ST,HURLEY,NY,12443,,43.11929,-77.62346,1.0,55.0,36.0,2,0.0,0.0
8403601135,NORTHEASTERN NEW YORK GENEALOGICAL SOCIETY,150TH NEW YORK STATE VOLUNTEER INFANTRY REGIMENT HISTORICAL,HISTORIC PRESERVATION,PO BOX 1011,POUGHKEEPSIE,NY,12602,,41.70623,-73.92854,1.0,27.0,36.0,2,0.0,0.0
8403601886,NORTHEASTERN NEW YORK RAILROAD PRESERVATION GROUP,NORTHEASTERN NEW YORK RAILROAD PRESERVATION GROUP,HISTORIC PRESERVATION,1 ELBOW ST,GREENWICH,NY,12834,,43.08682,-73.49738,3.0,115.0,36.0,2,0.0,0.0
8403601911,NORTHERN NEW YORK AGRICULTURAL,NORTHERN NEW YORK AGRICULTURAL,HISTORIC PRESERVATION,PO BOX 108,LAFARGEVILLE,NY,13656,3156582353,44.18501,-75.95945,4.0,,36.0,2,0.0,0.0
8403600105,NORTHERN NEW YORK AGRICULTURAL HISTORICAL SOCIETY,NORTHERN NEW YORK AGRICULTURAL,HISTORIC PRESERVATION,RT 180 AT STONE MILLS,LA FARGEVILLE,NY,13656,3156582353,44.18501,-75.95945,4.0,,36.0,2,0.0,0.0
8403601988,NORTHPORT HISTORICAL SOCIETY,NORTHPORT HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 545,NORTHPORT,NY,11768,6317579859,40.90408,-73.33123,2.0,103.0,36.0,2,303225.0,135762.0
8403600106,NORTHPORT HISTORICAL SOCIETY MUSEUM,NORTHPORT HISTORICAL SOCIETY MUSEUM,HISTORIC PRESERVATION,215 MAIN ST,NORTHPORT,NY,11768,5167579859,40.90106,-73.34664,2.0,103.0,36.0,2,303225.0,135762.0
8403602116,NORTHSIDE TOWN HALL COMMUNITY AND CULTURAL CENTER,NORTHSIDE TOWN HALL COMMUNITY AND CULTURAL CENTER INC,HISTORIC PRESERVATION,113 BERRY ST,BROOKLYN,NY,11211,7183832248,40.72044,-73.95957,1.0,47.0,36.0,2,181680.0,181680.0
